账期,账单大类,业务大类,业务小类,订单号,子订单号,下单时间,确认收货时间,商品ID,sku,商品名称,数量,单价（元）,订单实际金额（元）,退款单号,退款金额（元）,收/付渠道,业务流水号,商户订单号,打款时间,打款更新时间,备注
20260313	,货款收入	,交易货款	,五金/工具	,5098309309746806948	,5098309309746806948	,2026-03-06 11:23:14	,2026-03-13 20:43:12	,941174116084	,6181515206318|颜色分类#3B2.0A/20V 无冲击【一电标配】[EXDZ-20V/TCA-TQ]	,天旗防爆手电钻工业手持无刷锂电化工厂冲击钻防爆电动工具	,2	,999	,1638	,	,0	,支付宝	,2026030623001143631412093360	,T200P5098309309746806948	,2026-03-13 20:43:12	,2026-03-13 20:43:12	,	
20260310	,货款收入	,交易货款	,其他	,3265728600233784358	,3265728600233784358	,2026-02-27 17:50:38	,2026-03-10 16:20:01	,884576851638	,	,补差价链接【与客服沟通拍下，单排不发货】	,1	,380	,380	,	,0	,支付宝	,2026022723001141911455303493	,T200P3265728600233784358	,2026-03-10 16:20:00	,2026-03-10 16:20:00	,	
20260328	,货款收入	,交易货款	,五金/工具	,5095969599932576938	,5095969599932576938	,2026-03-04 20:15:56	,2026-03-28 11:54:59	,965517205874	,6016029152228|颜色分类#3B310N 5.0A/20V【俩电标配+22*42防爆套筒】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,1	,1199	,849	,	,0	,支付宝	,2026030422001195291421642593	,T200P5095969599932576938	,2026-03-28 11:54:59	,2026-03-28 11:54:59	,	
20260309	,货款收入	,交易货款	,五金/工具	,4502101032030022825	,4502101032030022825	,2026-03-05 13:17:51	,2026-03-09 18:23:59	,965517205874	,6016029152233|颜色分类#3B310N 4.0A/20V 【俩电标配】[YPEX-DBS/4.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,1	,999	,770	,	,0	,聚合结算账户渠道	,4318802235202603055975731692	,	,2026-03-09 18:23:59	,2026-03-09 18:23:59	,	
20260309	,货款收入	,交易货款	,五金/工具	,5096691254483255428	,5096691254483255428	,2026-03-05 11:27:18	,2026-03-09 14:14:38	,937006851899	,6182111287816|颜色分类#3B900N 7.5A/21V【俩电标配+22*60防爆套筒】[YPEX-DBS/90CGB-TQ]	,天旗防爆电动扳手化工厂石油套筒无刷大扭力轮胎汽修防爆电动工具	,1	,2999	,2659	,	,0	,支付宝	,2026030523001115841430768867	,T200P5096691254483255428	,2026-03-09 14:14:37	,2026-03-09 14:14:37	,	
20260319	,货款收入	,交易货款	,五金/工具	,4502123173059009200	,4502123173059009200	,2026-03-08 14:38:14	,2026-03-19 15:00:53	,965517205874	,6016029152234|颜色分类#3B310N 5.0A/20V 【俩电标配】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,10	,1099	,7990	,	,0	,支付宝	,2026030823001114311433996648	,T200P4502123173059009200	,2026-03-19 15:00:53	,2026-03-19 15:00:53	,	
20260316	,货款收入	,交易货款	,五金/工具	,4502110287177054701	,4502110287177054701	,2026-03-12 12:05:30	,2026-03-16 13:05:56	,965517205874	,6016029152235|颜色分类#3B310N 4.0A/20V 【俩电标配+22*42防爆套筒】[YPEX-DBS/4.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,1	,1099	,829	,	,0	,支付宝	,2026031223001148131412931459	,T200P4502110287177054701	,2026-03-16 13:05:55	,2026-03-16 13:05:55	,	
20260309	,货款收入	,交易货款	,五金/工具	,3265141226045784358	,3265141226045784358	,2026-02-27 17:49:02	,2026-03-09 19:01:11	,965517205874	,6016029152228|颜色分类#3B310N 5.0A/20V【俩电标配+22*42防爆套筒】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,15	,1199	,12735	,	,0	,支付宝	,2026022723001141911455873485	,T200P3265141226045784358	,2026-03-09 19:01:11	,2026-03-09 19:01:11	,	
20260328	,货款收入	,交易货款	,五金/工具	,2701751269022002994	,2701751269022002994	,2026-03-17 06:47:00	,2026-03-28 09:08:23	,965517205874	,6016029152228|颜色分类#3B310N 5.0A/20V【俩电标配+22*42防爆套筒】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,2	,1159	,1668	,	,0	,支付宝	,2026031722001165701414790537	,T200P2701751269022002994	,2026-03-28 09:08:23	,2026-03-28 09:08:23	,	
20260330	,货款收入	,交易货款	,五金/工具	,3267723901565604371	,3267723901565604371	,2026-02-28 18:30:05	,2026-03-30 16:05:06	,965517205874	,6016029152228|颜色分类#3B310N 5.0A/20V【俩电标配+22*42防爆套筒】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,1	,1199	,849	,	,0	,聚合结算账户渠道	,4340102277202602286420202665	,	,2026-03-30 16:05:05	,2026-03-30 16:05:05	,	
